symbol,pos,entry_price,buy_date,id
ADA,20000,0.36,20240107,cardano
ALGO,100000,0.15,20230716,algorand
APE,9750,1.92,20221210,apecoin
ARB,1000,1.27814,20230716,arbitrum
ATH,1600,1.52,20240213,athenadao_token
AXGT,2000000,0.001432224,20240202,axondao_governance_token
BLOK,1000000,0.0022,20230512,bloktopia
CGPT,23700,0.126582278,20231219,chaingpt
CQT,20000,0.1775,20231218,covalent
CRE,8500000,0.0004345,20240426,creso_2
CSIX,200000,0.06,20240502,carbon_browser
CRYO,800,1.14,20231213,cryodao
DBC,822134,0.0065,20240310,deepbrain_chain
DFI,3200,0.87,20210101,defichain
DNX,4892,0.720461095,20231218,dynex
FAI,2000000,0.003894,20240409,futuresai
FEG,5300000,0.0002,20210101,feg_bsc
GALA,100000,0.0308204,20221210,gala
GENE,50000,0.023863458,20231216,genomesdao-genome
GFAL,100000,0.0108917,20230603,games_for_a_living
HBAR,100000,0.0632206,20230418,hedera_hashgraph
KAI,124000,0.02,20201223,kardiachain
KAS,31720,0.127996166,20231214,kaspa
LAKE,313023,0.015193618,20231213,data_lake
LCX,50000,0.0700,20231217,lcx
MYRIA,500000,0.00237912,20230603,myria
NOBL,200293,0.05,20240626,nobleblocks
NXRA,50210,0.127479387,20240127,allianceblock_nexera
QANX,100000,0.09,20240404,qanplatform
QNT,100,90,20240628,quant_network
RIO,5090,0.589744597,20231219,realio_network
RISE,20000000,0.00015,20210715,everrise
SEI,10000,0.1212,20230913,sei_network
SIDUS,1000000,0.00148113,20230512,sidus
SUI,10150,0.492610837,20230906,sui
TRAVA,1014650,0.000985857,20231216,trava_finance
UFO,320000000,1.53E-06,20230410,ufo_gaming
VITA,1500,3.470653333,20231217,vitadao
VRA,388150,0.0071,20210101,verasity
XCH,100,300,20240101,chia
XDC,100000,0.0434128,20230915,xdce_crowd_sale
XYO,500000,0.0037107,20230716,xyo_network
