symbol,usd,usd_market_cap,market_cap_rank
ALGO,0.237658,1929067853.8518443,56
NXRA,0.232774,183945968.858638,409
AMP,0.00945045,530703811.52045786,256
APE,1.7,1067988354.7288904,77
ARB,1.46,3878699786.4222803,43
ATH,0.801248,6247785.718970553,1647
AXGT,0.351986,54235948.2244517,3000
CSIX,0.078952,31231048.75603946,874
ADA,0.584494,20628963685.17228,9
CGPT,0.339511,148381522.6427356,451
XCH,38.82,397371325.0766434,197
CQT,0.281503,178545980.83630803,340
LAKE,0.02297272,20401382.738717403,842
DBC,0.0058354,18546116.616784703,1494
DFI,0.076148,65975173.077066265,497
DNX,0.756399,65833313.60320982,608
RISE,0.00011999,8591833.016862648,1307
FEG,0.00077628,38843063.20310811,597
GALA,0.05735,2161323701.472222,93
GFAL,0.0343225,54166249.46297844,635
$GENE,0.01605102,4348789.041518427,1552
HBAR,0.105252,3550008617.740568,33
KAI,0.00468346,22346853.496359844,854
KAS,0.133935,3086498445.9799023,26
LCX,0.368238,285144679.18657386,255
MYRIA,0.00905128,157800262.75068298,302
QANX,0.090583,153991676.43444,751
QNT,121.05,1760539211.0423946,54
SEI,0.715687,1914461452.8114061,46
SIDUS,0.0126665,135112910.72622994,524
SUI,1.67,2164609133.3191633,51
TRAVA,0.00079965,2003119.7932051967,2273
UFO,1.21e-06,31381613.27248302,793
VRA,0.00769111,76598970.37966278,496
VITA,2.55,67132587.4321521,480
XDC,0.04551913,635093331.9377455,130
XYO,0.00974112,135349957.71077907,461
