symbol,pos,entry_price,buy_date,watch,target1,target2,target3
$GENE,50000,0.023863458,20231216,2,5,7,10
ADA,20000,0.36,20240107,7,3,4,5
ALGO,100000,0.15,20230716,7,8,10,12
APE,9093,1.92,20230619,3,5,7,10
ARB,1000,1.27814,20230716,7,5,7,10
ATH,1600,1.52,20240213,2,5,7,10
AXGT,2000000,0.001432224,20240202,1,5,7,10
BBOX,511120,0.00469557,20240127,0,5,7,10
BLOK,1000000,0.0022,20230512,3,5,7,10
CGPT,23700,0.126582278,20231219,4,5,7,10
CQT,20000,0.1775,20231218,6,5,7,10
CRE,8500000,0.0004345,20240426,8,5,7,10
CRYO,800,1.14,20231213,2,5,7,10
DBC,822134,0.0065,20240310,4,5,7,10
DCLOUD,96000,0.04,20240405,1,5,7,10
DFI,3200,0.87,20220820,6,5,7,10
DNX,3470,0.720461095,20231218,4,5,7,10
FAI,1000000,0.003894,20240409,4,5,7,10
FEG,5300000,0.0002,20210101,6,5,7,10
GALA,100000,0.0308204,20230328,3,5,7,10
GFAL,100000,0.0108917,20230603,3,5,7,10
HBAR,100000,0.0632206,20230418,7,5,7,10
KAI,124000,0.02,20201223,7,10,12,15
KAS,31720,0.127996166,20231214,7,5,7,10
LAKE,134750,0.015193618,20231213,2,5,7,10
LCX,50000,0.07,20231217,5,7,10,5
MYRIA,500000,0.00237912,20230603,3,5,7,10
NOBL,43200,0.05,20240416,2,5,7,10
NXRA,50210,0.127479387,20240127,5,7,10,5
CSIX,180000,0.06,20240502,4,5,7,10
QANX,100000,0.09,20240404,4,5,7,10
QNT,24,87.5,20231011,6,5,7,10
RIO,5090,0.589744597,20231219,5,7,10,5
RISE,20000000,0.00015,20230314,6,8,10,12
SEI,10000,0.1212,20230913,7,5,7,10
SIDUS,1000000,0.00148113,20230512,3,5,7,10
SUI,10150,0.492610837,20230906,7,5,7,10
TRAVA,1014650,0.000985857,20231216,4,5,7,10
UFO,320000000,1.53E-06,20230410,3,20,25,30
VITA,1500,3.470653333,20231217,2,5,7,10
VRA,388150,0.0071,20231217,3,8,10,12
XCH,100,300,20240101,0,5,7,10
XDC,100000,0.0434128,20230915,6,5,7,10
XYO,500000,0.0037107,20230716,8,5,7,10
